Location,Sub-location,Pokemon,D,P,Pt,Method,Levels,Morning Rate,Day Rate,Night Rate
Eterna City,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Eterna City,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Eterna City,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Eterna City,N/A,barboach,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Eterna City,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Eterna City,N/A,whiscash,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Eterna City,N/A,whiscash,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Eterna City,N/A,togepi,False,False,True,Egg,1,One,One,One
Hearthome City,N/A,eevee,True,True,False,Gift,5,One,One,One
Hearthome City,N/A,eevee,False,False,True,Gift,20,One,One,One
Hearthome City,N/A,happiny,True,True,False,Egg,1,One,One,One
Pastoria City,N/A,tentacool,True,True,True,Surfing,20-30,60%,60%,60%
Pastoria City,N/A,tentacruel,True,True,True,Surfing,20-40,5%,5%,5%
Pastoria City,N/A,wingull,True,True,False,Surfing,20-30,30%,30%,30%
Pastoria City,N/A,wingull,False,False,True,Surfing,20-30,4%,4%,4%
Pastoria City,N/A,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Pastoria City,N/A,shellos_east sea,False,False,True,Surfing,20-30,30%,30%,30%
Pastoria City,N/A,gastrodon_east sea,False,False,True,Surfing,20-40,1%,1%,1%
Pastoria City,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Pastoria City,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Pastoria City,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Pastoria City,N/A,remoraid,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Pastoria City,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Pastoria City,N/A,octillery,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Pastoria City,N/A,octillery,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Veilstone City,N/A,porygon,False,False,True,Gift,25,One,One,One
Sunyshore City,N/A,tentacool,False,False,True,Surfing,30-40,60%,60%,60%
Sunyshore City,N/A,tentacruel,True,True,False,Surfing,35-45,60%,60%,60%
Sunyshore City,N/A,tentacruel,False,False,True,Surfing,30-50,9%,9%,9%
Sunyshore City,N/A,wingull,False,False,True,Surfing,30-40,30%,30%,30%
Sunyshore City,N/A,pelipper,True,True,False,Surfing,35-43,30%,30%,30%
Sunyshore City,N/A,pelipper,False,False,True,Surfing,30-50,1%,1%,1%
Sunyshore City,N/A,mantyke,True,True,False,Surfing,30-45,10%,10%,10%
Sunyshore City,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Sunyshore City,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Sunyshore City,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Sunyshore City,N/A,remoraid,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Sunyshore City,N/A,staryu,True,True,False,Fishing Super Rod,20-40,15%,15%,15%
Sunyshore City,N/A,staryu,False,False,True,Fishing Super Rod,20-50,15%,15%,15%
Sunyshore City,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Sunyshore City,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,40%,40%,40%
Sunyshore City,N/A,octillery,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Sunyshore City,N/A,octillery,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Snowpoint City,N/A,haunter,True,True,True,Trade Medicham,The same as the Traded Pokémon,One,One,One
Pokémon League,N/A,tentacruel,True,True,False,Surfing,35-45,65%,65%,65%
Pokémon League,N/A,tentacruel,False,False,True,Surfing,30-50,5%,5%,5%
Pokémon League,N/A,wingull,False,False,True,Surfing,30-40,60%,60%,60%
Pokémon League,N/A,pelipper,True,True,False,Surfing,35-55,35%,35%,35%
Pokémon League,N/A,pelipper,False,False,True,Surfing,30-50,35%,35%,35%
Pokémon League,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Pokémon League,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Pokémon League,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Pokémon League,N/A,remoraid,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Pokémon League,N/A,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Pokémon League,N/A,gyarados,False,False,True,Fishing Super Rod,30-55,40%,40%,40%
Pokémon League,N/A,octillery,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Pokémon League,N/A,octillery,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Pokémon League,N/A,luvdisc,True,True,True,Fishing Super Rod,20-30,15%,15%,15%
Route 201,N/A,starly,True,True,True,Grass,2-3,50%,50%,40%
Route 201,N/A,bidoof,True,True,False,Grass,2-3,50%,50%,60%
Route 201,N/A,bidoof,False,False,True,Grass,2-4,40%,50%,50%
Route 201,N/A,kricketot,False,False,True,Grass,3,10%,0%,10%
Route 201,N/A,turtwig,False,False,True,Starter Pokémon,5,One,One,One
Route 201,N/A,chimchar,False,False,True,Starter Pokémon,5,One,One,One
Route 201,N/A,piplup,False,False,True,Starter Pokémon,5,One,One,One
Route 201,N/A,doduo,True,True,True,Swarm,2,40%,40%,40%
Route 201,N/A,nidoran_f,True,False,False,Poké Radar,3,20%,20%,20%
Route 201,N/A,nidoran_f,False,True,False,Poké Radar,2,2%,2%,2%
Route 201,N/A,nidoran_f,False,False,True,Poké Radar,2-3,11%,11%,11%
Route 201,N/A,nidoran_m,True,False,False,Poké Radar,2,2%,2%,2%
Route 201,N/A,nidoran_m,False,True,False,Poké Radar,3,20%,20%,20%
Route 201,N/A,nidoran_m,False,False,True,Poké Radar,2-3,11%,11%,11%
Route 201,N/A,growlithe,True,True,True,Dual-slot FireRed,2,8%,8%,8%
Route 201,N/A,starly,True,True,False,Dual-slot LeafGreen,2,4%,4%,4%
Route 201,N/A,starly,True,True,False,Dual-slot Ruby,2,4%,4%,4%
Route 201,N/A,starly,True,True,False,Dual-slot Sapphire,2,4%,4%,4%
Route 201,N/A,starly,True,True,False,Dual-slot Emerald,2,4%,4%,4%
Route 202,N/A,starly,True,True,False,Grass,2-4,30%,40%,30%
Route 202,N/A,starly,False,False,True,Grass,"2, 4",20%,20%,10%
Route 202,N/A,bidoof,True,True,False,Grass,2-4,30%,30%,30%
Route 202,N/A,bidoof,False,False,True,Grass,2-4,40%,50%,50%
Route 202,N/A,kricketot,True,True,True,Grass,3,10%,0%,0%
Route 202,N/A,kricketot,True,True,False,Grass,3-4,0%,0%,10%
Route 202,N/A,kricketot,False,False,True,Grass,4,0%,0%,10%
Route 202,N/A,shinx,True,True,True,Grass,3-4,30%,30%,30%
Route 202,N/A,zigzagoon,True,True,True,Swarm,3,40%,40%,40%
Route 202,N/A,sentret,True,True,True,Poké Radar,2-4,22%,22%,22%
Route 202,N/A,growlithe,True,True,True,Dual-slot FireRed,2,8%,8%,8%
Route 203,N/A,zubat,True,True,False,Grass,5,0%,0%,10%
Route 203,N/A,zubat,False,False,True,Grass,4,0%,0%,10%
Route 203,N/A,abra,True,True,True,Grass,4-5,15%,15%,15%
Route 203,N/A,starly,True,True,False,Grass,4-6,35%,45%,25%
Route 203,N/A,starly,False,False,True,Grass,"4, 6, 7",25%,25%,25%
Route 203,N/A,starly,False,False,True,Grass,5,10%,10%,0%
Route 203,N/A,bidoof,True,True,False,Grass,4-6,15%,15%,15%
Route 203,N/A,bidoof,False,False,True,Grass,5-7,15%,15%,15%
Route 203,N/A,bidoof,False,False,True,Grass,4,0%,10%,0%
Route 203,N/A,kricketot,True,True,False,Grass,4,10%,0%,10%
Route 203,N/A,kricketot,False,False,True,Grass,4,10%,0%,0%
Route 203,N/A,kricketot,False,False,True,Grass,5,0%,0%,10%
Route 203,N/A,shinx,True,True,True,Grass,4-5,25%,25%,25%
Route 203,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 203,N/A,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 203,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 203,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 203,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 203,N/A,goldeen,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 203,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 203,N/A,seaking,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 203,N/A,seaking,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 203,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 203,N/A,cubone,True,True,True,Swarm,4,40%,40%,40%
Route 203,N/A,pineco,True,True,False,Dual-slot Emerald,5,8%,8%,8%
Route 203,N/A,pineco,False,False,True,Dual-slot Emerald,6,8%,8%,8%
Route 203,N/A,lotad,True,True,False,Dual-slot Sapphire,5,8%,8%,8%
Route 203,N/A,lotad,False,False,True,Dual-slot Sapphire,6,8%,8%,8%
Route 203,N/A,seedot,True,True,False,Dual-slot Ruby,5,8%,8%,8%
Route 203,N/A,seedot,False,False,True,Dual-slot Ruby,6,8%,8%,8%
Route 203,N/A,ralts,True,True,False,Poké Radar,4-6,21%,21%,21%
Route 203,N/A,kirlia,True,True,False,Poké Radar,6,1%,1%,1%
Route 204,South,zubat,True,True,False,Grass,4,0%,0%,10%
Route 204,South,zubat,False,False,True,Grass,3,0%,0%,10%
Route 204,South,wurmple,False,False,True,Grass,4,10%,10%,0%
Route 204,South,starly,True,True,False,Grass,"4, 6",25%,35%,25%
Route 204,South,starly,False,False,True,Grass,4-6,25%,25%,25%
Route 204,South,bidoof,True,True,False,Grass,"4, 6",25%,25%,25%
Route 204,South,bidoof,False,False,True,Grass,4-6,25%,25%,25%
Route 204,South,kricketot,True,True,False,Grass,4,10%,0%,10%
Route 204,South,kricketot,False,False,True,Grass,3,10%,0%,0%
Route 204,South,kricketot,False,False,True,Grass,4,0%,0%,10%
Route 204,South,shinx,True,True,True,Grass,4-5,15%,15%,15%
Route 204,South,budew,True,True,False,Grass,4-5,25%,25%,15%
Route 204,South,budew,False,False,True,Grass,3-5,0%,25%,0%
Route 204,South,budew,False,False,True,Grass,4-5,15%,0%,15%
Route 204,South,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 204,South,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 204,South,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 204,South,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 204,South,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 204,South,goldeen,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 204,South,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 204,South,seaking,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 204,South,seaking,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 204,South,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 204,South,caterpie,True,True,False,Dual-slot FireRed,6,8%,8%,8%
Route 204,South,caterpie,False,False,True,Dual-slot FireRed,5,8%,8%,8%
Route 204,South,weedle,True,True,False,Dual-slot LeafGreen,6,8%,8%,8%
Route 204,South,weedle,False,False,True,Dual-slot LeafGreen,5,8%,8%,8%
Route 204,South,pineco,True,True,False,Dual-slot Emerald,6,8%,8%,8%
Route 204,South,pineco,False,False,True,Dual-slot Emerald,5,8%,8%,8%
Route 204,South,lotad,True,True,False,Dual-slot Sapphire,6,8%,8%,8%
Route 204,South,lotad,False,False,True,Dual-slot Sapphire,5,8%,8%,8%
Route 204,South,seedot,True,True,False,Dual-slot Ruby,6,8%,8%,8%
Route 204,South,seedot,False,False,True,Dual-slot Ruby,5,8%,8%,8%
Route 204,South,ralts,True,True,False,Poké Radar,"4, 6",21%,21%,21%
Route 204,South,kirlia,True,True,False,Poké Radar,6,1%,1%,1%
Route 204,North,zubat,True,True,False,Grass,6,0%,0%,10%
Route 204,North,zubat,False,False,True,Grass,8,0%,0%,10%
Route 204,North,wurmple,False,False,True,Grass,9,10%,10%,0%
Route 204,North,starly,True,True,False,Grass,"6, 8",25%,35%,25%
Route 204,North,starly,False,False,True,Grass,9-11,25%,25%,25%
Route 204,North,bidoof,True,True,False,Grass,"6, 8",25%,25%,25%
Route 204,North,bidoof,False,False,True,Grass,9-11,25%,25%,25%
Route 204,North,kricketot,True,True,False,Grass,6,10%,0%,10%
Route 204,North,kricketot,False,False,True,Grass,8,10%,0%,0%
Route 204,North,kricketot,False,False,True,Grass,9,0%,0%,10%
Route 204,North,shinx,True,True,False,Grass,6-7,15%,15%,15%
Route 204,North,shinx,False,False,True,Grass,9-10,15%,15%,15%
Route 204,North,budew,True,True,False,Grass,"6, 7",25%,25%,15%
Route 204,North,budew,False,False,True,Grass,8-10,15%,25%,15%
Route 204,North,caterpie,False,False,True,Dual-slot FireRed,6,8%,8%,8%
Route 204,North,weedle,False,False,True,Dual-slot LeafGreen,6,8%,8%,8%
Route 204,North,pineco,True,True,False,Dual-slot Emerald,8,8%,8%,8%
Route 204,North,pineco,False,False,True,Dual-slot Emerald,10,8%,8%,8%
Route 204,North,lotad,True,True,False,Dual-slot Sapphire,8,8%,8%,8%
Route 204,North,lotad,False,False,True,Dual-slot Sapphire,10,8%,8%,8%
Route 204,North,seedot,True,True,False,Dual-slot Ruby,8,8%,8%,8%
Route 204,North,seedot,False,False,True,Dual-slot Ruby,10,8%,8%,8%
Route 204,North,sunkern,True,True,False,Poké Radar,"6, 8",22%,22%,22%
Route 204,North,sunkern,False,False,True,Poké Radar,"9, 11",22%,22%,22%
Route 205,Southern segment,bidoof,True,True,False,Grass,9,10%,10%,10%
Route 205,Southern segment,bidoof,False,False,True,Grass,10,10%,10%,10%
Route 205,Southern segment,pachirisu,True,True,False,Grass,9,10%,10%,10%
Route 205,Southern segment,pachirisu,False,False,True,Grass,9-11,10%,10%,10%
Route 205,Southern segment,buizel,True,True,False,Grass,8-10,35%,35%,35%
Route 205,Southern segment,buizel,False,False,True,Grass,10-11,15%,15%,15%
Route 205,Southern segment,shellos_west sea,True,True,False,Grass,8-10,45%,45%,45%
Route 205,Southern segment,shellos_west sea,False,False,True,Grass,9-12,65%,65%,65%
Route 205,Southern segment,wingull,True,True,False,Surfing,20-30,30%,30%,30%
Route 205,Southern segment,pelipper,True,True,False,Surfing,20-40,5%,5%,5%
Route 205,Southern segment,tentacool,True,True,False,Surfing,20-30,60%,60%,60%
Route 205,Southern segment,tentacool,False,False,True,Surfing,20-30,30%,30%,30%
Route 205,Southern segment,tentacruel,True,True,False,Surfing,20-40,5%,5%,5%
Route 205,Southern segment,tentacruel,False,False,True,Surfing,20-40,1%,1%,1%
Route 205,Southern segment,shellos_west sea,False,False,True,Surfing,20-30,60%,60%,60%
Route 205,Southern segment,gastrodon_west sea,False,False,True,Surfing,20-40,9%,9%,9%
Route 205,Southern segment,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 205,Southern segment,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 205,Southern segment,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 205,Southern segment,finneon,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 205,Southern segment,shellder,True,True,False,Fishing Super Rod,20-40,15%,15%,15%
Route 205,Southern segment,shellder,False,False,True,Fishing Super Rod,20-50,15%,15%,15%
Route 205,Southern segment,gyarados,True,True,False,Fishing Super Rod,30-40,40%,40%,40%
Route 205,Southern segment,gyarados,False,False,True,Fishing Super Rod,30-55,40%,40%,40%
Route 205,Southern segment,lumineon,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 205,Southern segment,lumineon,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 205,Southern segment,hoppip,True,True,False,Poké Radar,9-10,22%,22%,22%
Route 205,Southern segment,hoppip,False,False,True,Poké Radar,10-12,22%,22%,22%
Route 205,Southern segment,elekid,True,True,False,Dual-slot FireRed,10,8%,8%,8%
Route 205,Northern segment,hoothoot,False,False,True,Grass,12,0%,0%,10%
Route 205,Northern segment,wurmple,False,False,True,Grass,13,10%,10%,0%
Route 205,Northern segment,silcoon,False,False,True,Grass,14,10%,10%,10%
Route 205,Northern segment,beautifly,False,False,True,Grass,15,1%,1%,1%
Route 205,Northern segment,cascoon,False,False,True,Grass,14,10%,10%,10%
Route 205,Northern segment,dustox,False,False,True,Grass,15,1%,1%,1%
Route 205,Northern segment,bidoof,True,True,False,Grass,10-12,45%,45%,45%
Route 205,Northern segment,bidoof,False,False,True,Grass,12-14,30%,30%,30%
Route 205,Northern segment,kricketot,False,False,True,Grass,12-13,10%,0%,10%
Route 205,Northern segment,budew,False,False,True,Grass,12-14,28%,38%,28%
Route 205,Northern segment,pachirisu,True,True,False,Grass,11,10%,10%,10%
Route 205,Northern segment,buizel,True,True,False,Grass,10-12,35%,35%,35%
Route 205,Northern segment,shellos_west sea,True,True,False,Grass,11,10%,10%,10%
Route 205,Northern segment,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 205,Northern segment,psyduck,False,False,True,Surfing,20-30,90%,90%,90%
Route 205,Northern segment,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 205,Northern segment,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 205,Northern segment,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 205,Northern segment,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 205,Northern segment,barboach,True,True,True,Fishing Good Rod,10-25,45%,45%,45%
Route 205,Northern segment,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 205,Northern segment,whiscash,True,True,True,Fishing Super Rod,20-50,45%,45%,45%
Route 205,Northern segment,slowpoke,False,True,False,Poké Radar,11-12,22%,22%,22%
Route 205,Northern segment,slowpoke,False,False,True,Poké Radar,14-15,22%,22%,22%
Route 205,Northern segment,hoppip,True,False,False,Poké Radar,11,20%,20%,20%
Route 205,Northern segment,skiploom,True,False,False,Poké Radar,12,2%,2%,2%
Route 205,Northern segment,lotad,True,True,False,Dual-slot Sapphire,12,8%,8%,8%
Route 205,Northern segment,lotad,False,False,True,Dual-slot Sapphire,13-14,8%,8%,8%
Route 206,N/A,zubat,True,True,False,Grass,14-16,0%,0%,10%
Route 206,N/A,zubat,False,False,True,Grass,17,0%,0%,10%
Route 206,N/A,machop,False,False,True,Grass,17-19,20%,20%,20%
Route 206,N/A,geodude,False,True,False,Grass,14-16,35%,35%,35%
Route 206,N/A,geodude,True,False,False,Grass,14,10%,10%,10%
Route 206,N/A,geodude,False,False,True,Grass,16-18,30%,30%,30%
Route 206,N/A,ponyta,True,True,False,Grass,14-16,35%,45%,35%
Route 206,N/A,ponyta,False,False,True,Grass,16-17,20%,30%,20%
Route 206,N/A,gligar,False,False,True,Grass,16-18,20%,20%,10%
Route 206,N/A,kricketot,True,True,False,Grass,14,10%,0%,0%
Route 206,N/A,kricketune,True,True,False,Grass,14-15,10%,10%,10%
Route 206,N/A,kricketune,False,False,True,Grass,17-18,10%,0%,10%
Route 206,N/A,stunky,True,False,False,Grass,14-16,25%,25%,25%
Route 206,N/A,bronzor,True,True,False,Grass,15,10%,10%,10%
Route 206,N/A,larvitar,False,False,True,Swarm,14-16,40%,40%,40%
Route 206,N/A,nosepass,True,True,False,Swarm,14,40%,40%,40%
Route 206,N/A,gligar,True,True,False,Dual-slot Emerald,15,8%,8%,8%
Route 206,N/A,baltoy,True,True,False,Poké Radar,14-16,22%,22%,22%
Route 206,N/A,baltoy,False,False,True,Poké Radar,17-19,22%,22%,22%
Route 207,N/A,zubat,True,True,False,Grass,6,0%,0%,10%
Route 207,N/A,zubat,False,False,True,Grass,5,0%,0%,10%
Route 207,N/A,machop,True,True,False,Grass,5-7,35%,45%,25%
Route 207,N/A,machop,False,False,True,Grass,5-8,0%,45%,0%
Route 207,N/A,machop,False,False,True,Grass,6-8,35%,0%,35%
Route 207,N/A,geodude,True,True,False,Grass,5-7,55%,55%,55%
Route 207,N/A,geodude,False,False,True,Grass,5-7,30%,30%,30%
Route 207,N/A,ponyta,False,False,True,Grass,5-7,25%,25%,15%
Route 207,N/A,kricketot,True,True,False,Grass,6,10%,0%,10%
Route 207,N/A,kricketot,False,False,True,Grass,5,10%,0%,0%
Route 207,N/A,kricketot,False,False,True,Grass,6,0%,0%,10%
Route 207,N/A,phanpy,True,True,True,Swarm,5-7,40%,40%,40%
Route 207,N/A,gligar,True,True,False,Dual-slot Emerald,7,8%,8%,8%
Route 207,N/A,stantler,False,True,True,Poké Radar,5-7,22%,22%,22%
Route 207,N/A,larvitar,True,False,False,Poké Radar,6-7,22%,22%,22%
Route 208,N/A,zubat,True,True,False,Grass,16,0%,0%,20%
Route 208,N/A,zubat,False,False,True,Grass,19,0%,0%,10%
Route 208,N/A,psyduck,True,True,False,Grass,16-18,30%,30%,30%
Route 208,N/A,machop,True,True,False,Grass,17,10%,10%,10%
Route 208,N/A,machop,True,True,False,Grass,16,10%,10%,0%
Route 208,N/A,ralts,False,False,True,Grass,17-18,15%,15%,15%
Route 208,N/A,meditite,True,True,False,Grass,17,10%,10%,0%
Route 208,N/A,meditite,True,True,False,Grass,16,10%,10%,10%
Route 208,N/A,roselia,False,False,True,Grass,19-20,15%,15%,15%
Route 208,N/A,bidoof,True,True,False,Grass,16,20%,20%,20%
Route 208,N/A,bidoof,False,False,True,Grass,18,20%,20%,20%
Route 208,N/A,bibarel,True,True,False,Grass,17-18,10%,10%,10%
Route 208,N/A,bibarel,False,False,True,Grass,18-20,20%,20%,20%
Route 208,N/A,budew,False,False,True,Grass,18,20%,20%,20%
Route 208,N/A,budew,False,False,True,Grass,19,10%,10%,0%
Route 208,N/A,psyduck,True,True,False,Surfing,20-40,90%,90%,90%
Route 208,N/A,psyduck,False,False,True,Surfing,20,90%,90%,90%
Route 208,N/A,golduck,True,True,True,Surfing,20-40,10%,10%,10%
Route 208,N/A,magikarp,True,True,False,Fishing Old Rod,3-10,100%,100%,100%
Route 208,N/A,magikarp,False,False,True,Fishing Old Rod,3-15,100%,100%,100%
Route 208,N/A,goldeen,False,False,True,Fishing Good Rod,10-25,45%,45%,45%
Route 208,N/A,magikarp,True,True,True,Fishing Good Rod,10-25,55%,55%,55%
Route 208,N/A,barboach,True,True,False,Fishing Good Rod,10-25,45%,45%,45%
Route 208,N/A,seaking,False,False,True,Fishing Super Rod,30-55,45%,45%,45%
Route 208,N/A,gyarados,True,True,True,Fishing Super Rod,30-55,55%,55%,55%
Route 208,N/A,whiscash,True,True,False,Fishing Super Rod,20-50,45%,45%,45%
Route 208,N/A,dunsparce,True,True,False,Swarm,16,40%,40%,40%
Route 208,N/A,dunsparce,False,False,True,Swarm,18,40%,40%,40%
Route 208,N/A,smeargle,False,False,True,Poké Radar,18-20,22%,22%,22%
Route 208,N/A,tyrogue,True,True,False,Poké Radar,17-18,22%,22%,22%
Route 208,N/A,zangoose,True,True,False,Dual-slot Ruby,18,8%,8%,8%
Route 208,N/A,zangoose,False,False,True,Dual-slot Ruby,20,8%,8%,8%
