Location,Sub-location,Pokemon,G,S,C,Method,Levels,Morning Rate,Day Rate,Night Rate
Route 30,N/A,weedle,False,True,False,Grass,3-4,50%,35%,0%
Route 30,N/A,weedle,False,False,True,Grass,3,5%,5%,0%
Route 30,N/A,kakuna,False,True,False,Grass,4,10%,0%,0%
Route 30,N/A,kakuna,False,True,False,Grass,4-5,0%,15%,0%
Route 30,N/A,pidgey,True,False,False,Grass,2-4,40%,50%,0%
Route 30,N/A,pidgey,False,True,True,Grass,4,10%,0%,0%
Route 30,N/A,pidgey,False,True,False,Grass,2-4,0%,50%,0%
Route 30,N/A,pidgey,False,False,True,Grass,3-4,0%,40%,0%
Route 30,N/A,rattata,True,True,False,Grass,3-4,0%,0%,40%
Route 30,N/A,zubat,False,False,True,Grass,3,0%,0%,5%
Route 30,N/A,poliwag,False,False,True,Grass,4,0%,0%,20%
Route 30,N/A,hoothoot,True,False,False,Grass,4,0%,0%,30%
Route 30,N/A,hoothoot,False,True,False,Grass,"2,4",0%,0%,60%
Route 30,N/A,hoothoot,False,False,True,Grass,3-4,0%,0%,45%
Route 30,N/A,ledyba,False,True,True,Grass,3,30%,0%,0%
Route 30,N/A,spinarak,True,False,True,Grass,3,0%,0%,30%
Route 30,N/A,hoppip,False,False,True,Grass,4,5%,5%,0%
Route 30,N/A,poliwag,True,True,True,Surfing,15-24,90%,90%,90%
Route 30,N/A,poliwhirl,True,True,True,Surfing,20-24,10%,10%,10%
Route 30,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 30,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 30,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 30,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 30,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Route 30,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 30,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 30,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 30,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 30,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 30,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 30,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 30,N/A,spearow,True,True,False,Headbutt,10,50%,50%,50%
Route 30,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 30,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 30,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 30,N/A,pineco,False,False,True,Headbutt,10,30%,30%,30%
Route 30,N/A,heracross,True,True,False,Headbutt,10,30%,30%,30%
Route 31,N/A,caterpie,True,False,False,Grass,4-5,35%,35%,0%
Route 31,N/A,caterpie,False,False,True,Grass,4,30%,30%,0%
Route 31,N/A,metapod,True,False,False,Grass,5,15%,0%,0%
Route 31,N/A,metapod,True,False,False,Grass,5-6,0%,15%,0%
Route 31,N/A,weedle,False,True,False,Grass,4-5,30%,35%,0%
Route 31,N/A,weedle,False,False,True,Grass,4,5%,5%,0%
Route 31,N/A,kakuna,False,True,False,Grass,5,10%,0%,0%
Route 31,N/A,kakuna,False,True,False,Grass,5-6,0%,15%,0%
Route 31,N/A,pidgey,True,False,False,Grass,3,30%,30%,0%
Route 31,N/A,pidgey,False,True,True,Grass,5,10%,0%,0%
Route 31,N/A,pidgey,False,True,False,Grass,3,0%,30%,0%
Route 31,N/A,pidgey,False,False,True,Grass,4-5,0%,40%,0%
Route 31,N/A,rattata,True,True,False,Grass,4-5,0%,0%,40%
Route 31,N/A,zubat,False,False,True,Grass,4,0%,0%,5%
Route 31,N/A,poliwag,False,False,True,Grass,4,0%,0%,30%
Route 31,N/A,bellsprout,True,True,False,Grass,3,20%,20%,20%
Route 31,N/A,bellsprout,False,False,True,Grass,5,20%,20%,20%
Route 31,N/A,gastly,False,False,True,Grass,5,0%,0%,5%
Route 31,N/A,hoothoot,True,False,True,Grass,5,0%,0%,10%
Route 31,N/A,hoothoot,False,True,False,Grass,3-5,0%,0%,40%
Route 31,N/A,ledyba,False,True,True,Grass,4,30%,0%,0%
Route 31,N/A,spinarak,True,False,True,Grass,4,0%,0%,30%
Route 31,N/A,hoppip,False,False,True,Grass,5,5%,5%,0%
Route 31,N/A,poliwag,True,True,True,Surfing,15-24,90%,90%,90%
Route 31,N/A,poliwhirl,True,True,True,Surfing,20-24,10%,10%,10%
Route 31,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 31,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 31,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 31,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 31,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Route 31,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 31,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 31,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 31,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 31,N/A,ledyba,False,False,True,Headbutt,10,15%,15%,15%
Route 31,N/A,spinarak,False,False,True,Headbutt,10,15%,15%,15%
Route 31,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 31,N/A,spearow,True,True,False,Headbutt,10,50%,50%,50%
Route 31,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 31,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 31,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 31,N/A,pineco,False,False,True,Headbutt,10,30%,30%,30%
Route 31,N/A,heracross,True,True,False,Headbutt,10,30%,30%,30%
Violet City,N/A,poliwag,True,True,True,Surfing,15-24,90%,90%,90%
Violet City,N/A,poliwhirl,True,True,True,Surfing,20-24,10%,10%,10%
Violet City,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Violet City,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Violet City,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Violet City,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Violet City,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Violet City,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Violet City,N/A,togepi,True,True,True,Egg,5,One,One,One
Violet City,N/A,onix,True,True,True,Trade Bellsprout,The same as the Traded Pokémon,One,One,One
Sprout Tower,N/A,rattata,True,True,True,1F-3F,3-6,100%,100%,0%
Sprout Tower,N/A,rattata,True,True,True,1F-3F,3-5,0%,0%,15%
Sprout Tower,N/A,gastly,True,True,True,1F-3F,3-6,0%,0%,85%
Route 32,N/A,pidgey,False,False,True,Grass,7,5%,5%,0%
Route 32,N/A,rattata,True,False,False,Grass,4-6,35%,0%,0%
Route 32,N/A,rattata,True,False,False,Grass,4-8,0%,40%,0%
Route 32,N/A,rattata,True,False,False,Grass,4,0%,0%,30%
Route 32,N/A,rattata,False,True,False,Grass,6,5%,0%,0%
Route 32,N/A,rattata,False,True,False,Grass,6-8,0%,10%,0%
Route 32,N/A,rattata,False,False,True,Grass,5,30%,30%,30%
Route 32,N/A,ekans,False,True,False,Grass,4,30%,30%,30%
Route 32,N/A,ekans,False,False,True,Grass,4,30%,30%,0%
Route 32,N/A,zubat,True,True,False,Grass,4,1%,0%,0%
Route 32,N/A,zubat,True,True,False,Grass,8,0%,0%,5%
Route 32,N/A,zubat,False,False,True,Grass,6,0%,0%,10%
Route 32,N/A,bellsprout,True,True,False,Grass,6,30%,30%,20%
Route 32,N/A,bellsprout,False,False,True,Grass,7,20%,20%,20%
Route 32,N/A,gastly,False,False,True,Grass,7,0%,0%,5%
Route 32,N/A,hoothoot,False,False,True,Grass,7,0%,0%,5%
Route 32,N/A,mareep,True,True,False,Grass,6,20%,20%,10%
Route 32,N/A,hoppip,True,True,False,Grass,6,10%,10%,0%
Route 32,N/A,hoppip,False,False,True,Grass,6-7,15%,15%,0%
Route 32,N/A,wooper,True,True,False,Grass,4,4%,0%,0%
Route 32,N/A,wooper,True,True,False,Grass,6-8,0%,0%,35%
Route 32,N/A,wooper,False,False,True,Grass,4,0%,0%,30%
Route 32,N/A,tentacool,True,True,True,Surfing,15-19,60%,60%,60%
Route 32,N/A,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Route 32,N/A,quagsire,True,True,True,Surfing,20-24,30%,30%,30%
Route 32,N/A,tentacool,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 32,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 32,N/A,tentacool,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 32,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 32,N/A,tentacool,True,True,True,Fishing Super Rod,40,70%,70%,70%
Route 32,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 32,N/A,qwilfish,True,True,True,Fishing Super Rod,40,10%,10%,10%
Route 32,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 32,N/A,ekans,False,False,True,Headbutt,10,15%,15%,15%
Route 32,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 32,N/A,hoothoot,False,False,True,Headbutt,10,65%,65%,65%
Route 32,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 32,N/A,spearow,True,True,False,Headbutt,10,50%,50%,50%
Route 32,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 32,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 32,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 32,N/A,pineco,False,False,True,Headbutt,10,30%,30%,30%
Route 32,N/A,heracross,True,True,False,Headbutt,10,30%,30%,30%
Route 32,N/A,magikarp,True,True,True,Fishing Old Rod,5,85%,85%,85%
Route 32,N/A,qwilfish,True,True,True,Fishing Old Rod,5,15%,15%,15%
Route 32,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 32,N/A,qwilfish,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 32,N/A,qwilfish,True,True,True,Fishing Super Rod,40,100%,100%,100%
Ruins of Alph,Inside,unown,True,True,True,Cave,5,100%,100%,100%
Ruins of Alph,Outside,natu,True,True,True,Grass,18-24,90%,90%,90%
Ruins of Alph,Outside,wooper,False,False,True,Grass,22,0%,0%,5%
Ruins of Alph,Outside,quagsire,False,False,True,Grass,22,0%,0%,5%
Ruins of Alph,Outside,smeargle,True,True,False,Grass,20-22,10%,10%,10%
Ruins of Alph,Outside,smeargle,False,False,True,Grass,20-22,10%,10%,0%
Ruins of Alph,Outside,wooper,True,True,True,Surfing,15-19,60%,60%,60%
Ruins of Alph,Outside,quagsire,True,True,True,Surfing,15-24,40%,40%,40%
Ruins of Alph,Outside,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Ruins of Alph,Outside,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Ruins of Alph,Outside,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Ruins of Alph,Outside,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Ruins of Alph,Outside,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Ruins of Alph,Outside,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Union Cave,1F,rattata,True,False,False,Cave,4,10%,10%,10%
Union Cave,1F,rattata,False,True,False,Cave,4-6,40%,40%,40%
Union Cave,1F,rattata,False,False,True,Cave,4,10%,10%,0%
Union Cave,1F,rattata,False,False,True,Cave,4-6,0%,0%,40%
Union Cave,1F,sandshrew,True,False,False,Cave,6,30%,30%,30%
Union Cave,1F,sandshrew,False,False,True,Cave,6,30%,30%,0%
Union Cave,1F,zubat,True,True,False,Cave,5-7,25%,25%,25%
Union Cave,1F,zubat,False,False,True,Cave,5-7,25%,25%,0%
Union Cave,1F,zubat,False,False,True,Cave,7,0%,0%,5%
Union Cave,1F,geodude,True,True,True,Cave,6,30%,30%,30%
Union Cave,1F,onix,True,True,True,Cave,6,5%,5%,5%
Union Cave,1F,wooper,False,False,True,Cave,5,0%,0%,20%
Union Cave,1F,wooper,True,True,True,Surfing,15-19,60%,60%,60%
Union Cave,1F,quagsire,True,True,True,Surfing,15-24,40%,40%,40%
Union Cave,1F,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Union Cave,1F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Union Cave,1F,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Union Cave,1F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Union Cave,1F,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Union Cave,1F,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Union Cave,1F,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Union Cave,B1F,rattata,True,False,False,Cave,6,5%,5%,5%
Union Cave,B1F,rattata,False,True,False,Cave,6-8,35%,35%,35%
Union Cave,B1F,rattata,False,False,True,Cave,6-8,10%,10%,10%
Union Cave,B1F,sandshrew,True,False,False,Cave,8,30%,30%,30%
Union Cave,B1F,zubat,True,True,False,Cave,7-9,25%,25%,25%
Union Cave,B1F,zubat,False,False,True,Cave,6-8,50%,50%,0%
Union Cave,B1F,zubat,False,False,True,Cave,6,0%,0%,30%
Union Cave,B1F,geodude,True,True,True,Cave,8,30%,30%,30%
Union Cave,B1F,onix,True,True,True,Cave,8,10%,10%,10%
Union Cave,B1F,wooper,False,False,True,Cave,8,0%,0%,20%
Union Cave,B1F,wooper,True,True,True,Surfing,15-19,60%,60%,60%
Union Cave,B1F,quagsire,True,True,True,Surfing,15-24,40%,40%,40%
Union Cave,B1F,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Union Cave,B1F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Union Cave,B1F,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Union Cave,B1F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Union Cave,B1F,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Union Cave,B1F,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Union Cave,B1F,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Union Cave,B2F,rattata,True,True,False,Cave,20,5%,5%,5%
Union Cave,B2F,raticate,True,True,False,Cave,22,30%,30%,30%
Union Cave,B2F,raticate,False,False,True,Cave,21,10%,10%,10%
Union Cave,B2F,zubat,True,True,False,Cave,22,30%,30%,30%
Union Cave,B2F,zubat,False,False,True,Cave,22,50%,50%,30%
Union Cave,B2F,golbat,True,True,False,Cave,22,20%,20%,20%
Union Cave,B2F,golbat,False,False,True,Cave,22,30%,30%,30%
Union Cave,B2F,geodude,True,True,False,Cave,21,10%,10%,10%
Union Cave,B2F,geodude,False,False,True,Cave,20,5%,5%,5%
Union Cave,B2F,onix,True,True,True,Cave,23,5%,5%,5%
Union Cave,B2F,quagsire,False,False,True,Cave,22,0%,0%,20%
Union Cave,B2F,tentacool,True,True,True,Surfing,15-19,60%,60%,60%
Union Cave,B2F,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Union Cave,B2F,quagsire,True,True,True,Surfing,20-24,30%,30%,30%
Union Cave,B2F,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Union Cave,B2F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Union Cave,B2F,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Union Cave,B2F,staryu,True,True,True,Fishing Good Rod,20,0%,0%,10%
Union Cave,B2F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Union Cave,B2F,corsola,True,True,True,Fishing Good Rod,20,10%,10%,0%
Union Cave,B2F,krabby,True,True,True,Fishing Super Rod,40,60%,60%,60%
Union Cave,B2F,kingler,True,True,True,Fishing Super Rod,40,10%,10%,10%
Union Cave,B2F,staryu,True,True,True,Fishing Super Rod,40,0%,0%,30%
Union Cave,B2F,corsola,True,True,True,Fishing Super Rod,40,30%,30%,0%
Union Cave,B2F,lapras,True,True,True,Only one,20,Once per week Fr,Once per week Fr,Once per week Fr
Route 33,N/A,rattata,True,False,False,Grass,6-7,40%,45%,60%
Route 33,N/A,rattata,False,True,False,Grass,6,10%,15%,30%
Route 33,N/A,rattata,False,False,True,Grass,6,30%,30%,0%
Route 33,N/A,rattata,False,False,True,Grass,7,0%,0%,40%
Route 33,N/A,spearow,True,True,False,Grass,6,20%,20%,0%
Route 33,N/A,spearow,False,False,True,Grass,6,30%,30%,0%
Route 33,N/A,ekans,False,True,False,Grass,7,30%,30%,30%
Route 33,N/A,ekans,False,False,True,Grass,7,5%,5%,0%
Route 33,N/A,zubat,True,True,False,Grass,4,5%,0%,0%
Route 33,N/A,zubat,True,True,False,Grass,6-8,0%,0%,40%
Route 33,N/A,zubat,False,False,True,Grass,6,0%,0%,40%
Route 33,N/A,geodude,False,False,True,Grass,6,20%,20%,20%
Route 33,N/A,hoppip,True,True,False,Grass,6-8,35%,35%,0%
Route 33,N/A,hoppip,False,False,True,Grass,6-7,15%,15%,0%
Route 33,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 33,N/A,spearow,False,False,True,Headbutt,10,65%,65%,65%
Route 33,N/A,ekans,False,False,True,Headbutt,10,15%,15%,15%
Route 33,N/A,aipom,True,True,True,Headbutt,10,20%,20%,20%
Route 33,N/A,spearow,True,True,True,Headbutt,10,50%,50%,50%
Route 33,N/A,aipom,True,True,True,Headbutt,10,20%,20%,20%
Route 33,N/A,heracross,True,True,True,Headbutt,10,30%,30%,30%
Azalea Town,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Azalea Town,N/A,butterfree,True,False,False,Headbutt,10,10%,10%,10%
Azalea Town,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Azalea Town,N/A,beedrill,False,True,False,Headbutt,10,10%,10%,10%
Azalea Town,N/A,exeggcute,True,True,False,Headbutt,10,10%,10%,10%
Azalea Town,N/A,pineco,True,True,False,Headbutt,10,30%,30%,30%
Azalea Town,N/A,spearow,False,False,True,Headbutt,10,65%,65%,65%
Azalea Town,N/A,aipom,False,False,True,Headbutt,10,20%,20%,20%
Azalea Town,N/A,ekans,False,False,True,Headbutt,10,15%,15%,15%
Azalea Town,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Azalea Town,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Azalea Town,N/A,butterfree,True,False,False,Headbutt,10,10%,10%,10%
Azalea Town,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Azalea Town,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Azalea Town,N/A,beedrill,False,True,False,Headbutt,10,10%,10%,10%
Azalea Town,N/A,exeggcute,True,True,False,Headbutt,10,10%,10%,10%
Azalea Town,N/A,spearow,False,False,True,Headbutt,10,50%,50%,50%
Azalea Town,N/A,heracross,False,False,True,Headbutt,10,30%,30%,30%
Azalea Town,N/A,aipom,False,False,True,Headbutt,10,20%,20%,20%
Slowpoke Well,B1F,zubat,True,True,True,Cave,5-8,85%,85%,85%
Slowpoke Well,B1F,slowpoke,True,True,True,Cave,6-8,15%,15%,15%
Slowpoke Well,B1F,slowpoke,True,True,True,Surfing,10-24,100%,100%,100%
Slowpoke Well,B1F,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Slowpoke Well,B1F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Slowpoke Well,B1F,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Slowpoke Well,B1F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Slowpoke Well,B1F,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Slowpoke Well,B1F,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Slowpoke Well,B1F,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Slowpoke Well,B2F,zubat,True,True,True,Cave,19-23,80%,80%,80%
Slowpoke Well,B2F,golbat,True,True,True,Cave,23,5%,5%,5%
Slowpoke Well,B2F,slowpoke,True,True,True,Cave,21-23,15%,15%,15%
Slowpoke Well,B2F,slowpoke,True,True,True,Surfing,15-24,90%,90%,90%
Slowpoke Well,B2F,slowbro,True,True,True,Surfing,20-25,10%,10%,10%
Slowpoke Well,B2F,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Slowpoke Well,B2F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Slowpoke Well,B2F,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Slowpoke Well,B2F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Slowpoke Well,B2F,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Slowpoke Well,B2F,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Slowpoke Well,B2F,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Ilex Forest,N/A,caterpie,True,False,False,Grass,5-6,50%,60%,0%
Ilex Forest,N/A,caterpie,False,False,True,Grass,5,30%,30%,0%
Ilex Forest,N/A,metapod,True,False,False,Grass,6,30%,0%,0%
Ilex Forest,N/A,metapod,True,False,False,Grass,5-6,0%,30%,0%
Ilex Forest,N/A,metapod,False,False,True,Grass,7,20%,20%,0%
Ilex Forest,N/A,weedle,False,True,False,Grass,5-6,50%,60%,0%
Ilex Forest,N/A,weedle,False,False,True,Grass,5,30%,30%,0%
Ilex Forest,N/A,kakuna,False,True,False,Grass,6,30%,0%,0%
Ilex Forest,N/A,kakuna,False,True,False,Grass,5-6,0%,30%,0%
Ilex Forest,N/A,kakuna,False,False,True,Grass,7,10%,10%,0%
Ilex Forest,N/A,pidgey,False,False,True,Grass,7,5%,5%,0%
Ilex Forest,N/A,zubat,True,True,False,Grass,5,5%,5%,0%
Ilex Forest,N/A,zubat,True,True,False,Grass,5-6,0%,0%,25%
Ilex Forest,N/A,oddish,True,True,False,Grass,5-6,0%,0%,60%
Ilex Forest,N/A,oddish,False,False,True,Grass,5-7,0%,0%,50%
Ilex Forest,N/A,paras,True,True,False,Grass,5-6,15%,0%,15%
Ilex Forest,N/A,paras,True,True,False,Grass,6,0%,5%,0%
Ilex Forest,N/A,paras,False,False,True,Grass,6,5%,5%,5%
Ilex Forest,N/A,venonat,False,False,True,Grass,5,0%,0%,30%
Ilex Forest,N/A,psyduck,False,False,True,Grass,7,0%,0%,10%
Ilex Forest,N/A,hoothoot,False,False,True,Grass,7,0%,0%,5%
Ilex Forest,N/A,psyduck,True,True,True,Surfing,10-19,90%,90%,90%
Ilex Forest,N/A,golduck,True,True,True,Surfing,15-19,10%,10%,10%
Ilex Forest,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Ilex Forest,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
